Body Type,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,CarbonEmission,Sex_female,Sex_male,Airfryer,Grill,Microwave,Oven,Stove,Glass,Metal,Paper,Plastic
2.0,2.0,1.0,3.0,1.0,0.0,2.0,230,2.0,210,2.0,4,7,26,1,2.0,2238,1,1,0,0,0,1,1,0,1,0,0
3.0,1.0,0.0,2.0,0.0,0.0,2.0,114,1.0,9,3.0,3,9,38,5,2.0,1892,1,1,0,0,1,0,1,0,1,0,0
2.0,3.0,3.0,1.0,2.0,4.0,0.0,138,0.0,2472,0.0,1,14,47,6,1.0,2595,0,1,0,0,1,1,0,0,1,0,0
2.0,3.0,2.0,1.0,0.0,0.0,1.0,157,1.0,74,1.0,3,20,5,7,1.0,1074,0,1,1,1,1,0,0,1,1,1,1
3.0,1.0,1.0,3.0,2.0,5.0,2.0,266,3.0,8457,2.0,1,3,5,6,0.0,4743,1,1,0,0,0,1,0,0,0,1,0
2.0,1.0,0.0,1.0,1.0,0.0,1.0,144,2.0,658,2.0,1,22,18,9,1.0,1647,0,1,0,0,1,1,1,1,1,1,0
0.0,0.0,0.0,1.0,2.0,2.0,0.0,56,1.0,5363,1.0,4,9,11,19,1.0,1832,1,1,1,1,0,0,0,0,0,0,0
0.0,0.0,3.0,3.0,0.0,0.0,1.0,59,3.0,54,3.0,3,5,39,15,2.0,2322,1,1,0,0,1,0,1,1,0,1,1
2.0,3.0,1.0,1.0,1.0,0.0,0.0,200,2.0,1376,1.0,3,3,31,15,0.0,2494,0,1,1,1,1,0,0,1,0,0,0
0.0,2.0,1.0,1.0,1.0,0.0,2.0,135,1.0,440,3.0,1,8,23,18,1.0,1178,1,1,1,1,1,0,0,1,0,0,0
1.0,1.0,3.0,1.0,1.0,0.0,0.0,146,0.0,1561,3.0,4,12,27,21,2.0,1427,1,1,0,0,1,0,1,0,0,1,1
3.0,1.0,3.0,3.0,0.0,0.0,0.0,111,3.0,69,1.0,5,9,4,4,1.0,3226,0,1,0,0,1,1,1,0,0,0,0
0.0,3.0,2.0,3.0,0.0,0.0,2.0,114,1.0,92,2.0,3,18,27,4,0.0,1593,1,1,0,0,0,0,1,0,0,0,1
0.0,0.0,0.0,0.0,2.0,3.0,1.0,111,1.0,2893,2.0,6,13,16,10,1.0,1732,1,1,1,1,1,1,1,1,1,0,1
3.0,2.0,0.0,2.0,1.0,0.0,2.0,123,1.0,1989,0.0,6,13,23,8,2.0,1743,0,1,0,0,0,1,1,0,1,1,1
